Feature,Importance,Original_Feature
trf2__u_symptom_Symptom 589,0.0011904245,u
trf2__u_symptom_Symptom 315,0.0011897333,u
trf2__u_symptom_Symptom 67,0.0011882484,u
trf2__location_Location 148,0.0011777318,location
trf2__location_Location 221,0.0011763108,location
trf2__location_Location 17,0.0011729089,location
trf2__u_symptom_Symptom 529,0.0011647603,u
trf2__u_symptom_Symptom 379,0.0011565665,u
trf2__u_symptom_Symptom 69,0.0011515705,u
trf2__u_symptom_Symptom 533,0.0011479752,u
trf2__u_symptom_Symptom 443,0.0011449689,u
trf2__u_symptom_Symptom 358,0.0011412634,u
trf2__u_symptom_Symptom 365,0.0011320268,u
trf2__u_symptom_Symptom 328,0.001107606,u
trf2__u_symptom_Symptom 279,0.0010968415,u
trf2__u_symptom_Symptom 409,0.0010959738,u
trf2__u_symptom_Symptom 97,0.001095239,u
trf2__u_symptom_Symptom 406,0.001093558,u
trf2__u_symptom_Symptom 492,0.0010886041,u
trf2__u_symptom_Symptom 207,0.0010880742,u
trf2__location_Location 51,0.0010875395,location
trf2__u_symptom_Symptom 183,0.0010856525,u
trf2__u_symptom_Symptom 260,0.0010819093,u
trf2__u_symptom_Symptom 148,0.001070661,u
trf2__u_symptom_Symptom 271,0.0010597088,u
trf2__u_symptom_Symptom 169,0.001057369,u
trf2__u_symptom_Symptom 470,0.0010528037,u
trf2__location_Location 190,0.0010506591,location
trf2__location_Location 118,0.0010474912,location
trf2__u_symptom_Symptom 594,0.0010423593,u
trf2__u_symptom_Symptom 228,0.001040765,u
trf2__location_Location 208,0.0010398448,location
trf2__location_Location 40,0.0010383113,location
trf2__u_symptom_Symptom 473,0.0010349313,u
trf2__location_Location 122,0.0010271561,location
trf2__u_symptom_Symptom 374,0.0010269142,u
trf2__location_Location 169,0.0010196846,location
trf2__location_Location 237,0.0010155957,location
trf2__u_symptom_Symptom 121,0.001011754,u
trf2__u_symptom_Symptom 233,0.0010051904,u
trf2__u_symptom_Symptom 305,0.0010046735,u
trf2__notify_Do Not Notify,0.0009987066,notify
trf2__location_Location 64,0.00099861,location
trf2__u_symptom_Symptom 99,0.0009935758,u
trf2__u_symptom_Symptom 213,0.0009924682,u
trf2__u_symptom_Symptom 426,0.0009878832,u
trf2__u_symptom_Symptom 429,0.0009853428,u
trf2__location_Location 41,0.0009848921,location
trf2__u_symptom_Symptom 602,0.0009795736,u
trf2__location_Location 12,0.000973584,location
trf2__u_symptom_Symptom 522,0.0009586287,u
trf2__u_symptom_Symptom 215,0.0009543319,u
trf2__location_Location 187,0.0009518028,location
trf2__location_Location 81,0.00095098256,location
trf2__u_symptom_Symptom 460,0.00093940675,u
trf2__u_symptom_Symptom 583,0.00093239715,u
trf2__location_Location 196,0.00092364475,location
trf2__location_Location 59,0.0009224844,location
trf2__u_symptom_Symptom 524,0.0009110942,u
trf2__u_symptom_Symptom 311,0.0009107794,u
trf2__location_Location 249,0.00090518064,location
trf2__u_symptom_Symptom 333,0.0009018938,u
trf2__u_symptom_Symptom 600,0.0008958837,u
trf2__u_symptom_Symptom 4,0.0008925818,u
trf2__u_symptom_Symptom 74,0.00088349136,u
trf2__u_symptom_Symptom 449,0.0008752212,u
trf2__location_Location 24,0.00087469496,location
trf2__location_Location 240,0.0008738354,location
trf2__location_Location 66,0.00087235303,location
trf2__location_Location 69,0.00087077386,location
trf2__location_Location 160,0.00086352363,location
trf2__location_Location 91,0.0008497532,location
trf2__location_Location 21,0.0008439868,location
trf2__location_Location 75,0.0008344387,location
trf2__u_symptom_Symptom 240,0.0008303856,u
trf2__location_Location 243,0.00082930306,location
trf2__u_symptom_Symptom 79,0.0008231142,u
trf2__u_symptom_Symptom 6,0.00081954914,u
trf2__location_Location 213,0.0008171193,location
trf2__u_symptom_Symptom 559,0.0008127433,u
trf2__location_Location 153,0.0008085847,location
trf2__location_Location 170,0.0008064686,location
trf2__u_symptom_Symptom 419,0.00080143113,u
trf2__u_symptom_Symptom 156,0.0008001305,u
trf2__u_symptom_Symptom 597,0.00079044804,u
trf2__u_symptom_Symptom 418,0.00077837205,u
trf2__u_symptom_Symptom 521,0.00077653327,u
