Feature,Importance
trf1__u_symptom_Symptom 366,0.00019768229060379065
trf1__u_symptom_Symptom 510,0.00019760020161113727
trf1__location_Location 11,0.00019720398802634841
trf1__u_symptom_Symptom 84,0.000196887966792848
trf1__u_symptom_Symptom 147,0.00019472656822919744
trf1__u_symptom_Symptom 373,0.00019140237001261362
trf1__u_symptom_Symptom 225,0.00019089035595550377
trf1__u_symptom_Symptom 508,0.0001846506498279728
trf1__location_Location 205,0.00017780658760961307
trf1__u_symptom_Symptom 115,0.0001776830784872002
trf1__u_symptom_Symptom 276,0.0001770049276874895
trf1__u_symptom_Symptom 261,0.00017387506469544465
trf1__u_symptom_Symptom 352,0.00016675421968026592
trf1__u_symptom_Symptom 214,0.00014428169601006616
trf1__u_symptom_Symptom 44,0.00013942225175182302
trf1__u_symptom_Symptom 499,0.00013616163755211596
trf1__u_symptom_Symptom 465,0.00012957508444483802
trf1__u_symptom_Symptom 389,0.00012862809628915914
trf1__u_symptom_Symptom 466,0.00012768757444102442
trf1__location_Location 222,0.0001206471721090895
trf1__u_symptom_Symptom 238,0.00011707210763262935
trf1__location_Location 97,0.0001125554101022461
trf1__u_symptom_Symptom 509,0.00011115625501357981
trf1__location_Location 144,0.00010908879373391122
trf1__u_symptom_Symptom 156,0.00010595262717096195
trf1__u_symptom_Symptom 266,0.00010072112943703035
trf1__u_symptom_Symptom 194,9.654089454063858e-05
trf1__u_symptom_Symptom 320,9.245588074842944e-05
trf1__location_Location 209,8.688834464092676e-05
trf1__u_symptom_Symptom 379,7.517428185026862e-05
trf1__u_symptom_Symptom 506,6.773584289890023e-05
trf1__u_symptom_Symptom 211,5.752291089923057e-05
trf1__u_symptom_Symptom 495,5.534857780649665e-05
trf1__u_symptom_Symptom 274,5.294504349106142e-05
trf1__u_symptom_Symptom 259,3.239889819435444e-05
trf1__contact_type_Email,2.432532372322e-05
trf1__u_symptom_Symptom 455,1.9713582072767304e-05
trf1__u_symptom_Symptom 461,0.0
trf1__u_symptom_Symptom 481,0.0
trf1__u_symptom_Symptom 438,0.0
trf1__u_symptom_Symptom 396,0.0
trf1__u_symptom_Symptom 406,0.0
trf1__u_symptom_Symptom 439,0.0
trf1__u_symptom_Symptom 397,0.0
trf1__u_symptom_Symptom 407,0.0
trf1__location_Location 147,0.0
trf1__u_symptom_Symptom 443,0.0
trf1__u_symptom_Symptom 398,0.0
trf1__u_symptom_Symptom 444,0.0
trf1__u_symptom_Symptom 483,0.0
trf1__u_symptom_Symptom 426,0.0
trf1__location_Location 151,0.0
trf1__u_symptom_Symptom 408,0.0
trf1__u_symptom_Symptom 448,0.0
trf1__u_symptom_Symptom 409,0.0
trf1__u_symptom_Symptom 437,0.0
trf1__u_symptom_Symptom 485,0.0
trf1__u_symptom_Symptom 417,0.0
trf1__u_symptom_Symptom 410,0.0
trf1__location_Location 141,0.0
trf1__u_symptom_Symptom 436,0.0
trf1__u_symptom_Symptom 487,0.0
trf1__u_symptom_Symptom 411,0.0
trf1__location_Location 148,0.0
trf1__u_symptom_Symptom 488,0.0
trf1__location_Location 140,0.0
trf1__u_symptom_Symptom 447,0.0
trf1__u_symptom_Symptom 405,0.0
trf1__u_symptom_Symptom 433,0.0
trf1__u_symptom_Symptom 457,0.0
trf1__u_symptom_Symptom 456,0.0
trf1__u_symptom_Symptom 402,0.0
trf1__u_symptom_Symptom 468,0.0
trf1__u_symptom_Symptom 415,0.0
trf1__u_symptom_Symptom 467,0.0
trf1__u_symptom_Symptom 42,0.0
trf1__u_symptom_Symptom 403,0.0
trf1__u_symptom_Symptom 429,0.0
trf1__u_symptom_Symptom 420,0.0
trf1__u_symptom_Symptom 464,0.0
trf1__u_symptom_Symptom 459,0.0
trf1__u_symptom_Symptom 460,0.0
trf1__u_symptom_Symptom 430,0.0
trf1__u_symptom_Symptom 431,0.0
trf1__u_symptom_Symptom 404,0.0
trf1__u_symptom_Symptom 401,0.0
trf1__u_symptom_Symptom 449,0.0
trf1__u_symptom_Symptom 40,0.0
trf1__u_symptom_Symptom 421,0.0
trf1__u_symptom_Symptom 48,0.0
trf1__u_symptom_Symptom 479,0.0
trf1__u_symptom_Symptom 427,0.0
trf1__u_symptom_Symptom 475,0.0
trf1__u_symptom_Symptom 45,0.0
trf1__u_symptom_Symptom 450,0.0
trf1__location_Location 145,0.0
trf1__u_symptom_Symptom 428,0.0
trf1__location_Location 142,0.0
trf1__u_symptom_Symptom 400,0.0
trf1__u_symptom_Symptom 452,0.0
trf1__u_symptom_Symptom 453,0.0
trf1__u_symptom_Symptom 419,0.0
trf1__u_symptom_Symptom 416,0.0
trf1__u_symptom_Symptom 530,0.0
trf1__location_Location 14,0.0
trf1__u_symptom_Symptom 62,0.0
trf1__u_symptom_Symptom 608,0.0
trf1__location_Location 117,0.0
trf1__u_symptom_Symptom 605,0.0
trf1__u_symptom_Symptom 604,0.0
trf1__u_symptom_Symptom 603,0.0
trf1__u_symptom_Symptom 602,0.0
trf1__u_symptom_Symptom 600,0.0
trf1__u_symptom_Symptom 60,0.0
trf1__location_Location 119,0.0
trf1__u_symptom_Symptom 599,0.0
trf1__u_symptom_Symptom 598,0.0
trf1__u_symptom_Symptom 597,0.0
trf1__u_symptom_Symptom 595,0.0
trf1__location_Location 12,0.0
trf1__u_symptom_Symptom 593,0.0
trf1__u_symptom_Symptom 590,0.0
trf1__u_symptom_Symptom 59,0.0
trf1__location_Location 120,0.0
trf1__u_symptom_Symptom 588,0.0
trf1__u_symptom_Symptom 586,0.0
trf1__u_symptom_Symptom 585,0.0
trf1__u_symptom_Symptom 584,0.0
trf1__location_Location 121,0.0
trf1__u_symptom_Symptom 582,0.0
trf1__location_Location 122,0.0
trf1__u_symptom_Symptom 58,0.0
trf1__u_symptom_Symptom 578,0.0
trf1__u_symptom_Symptom 61,0.0
trf1__u_symptom_Symptom 63,0.0
trf1__u_symptom_Symptom 575,0.0
trf1__u_symptom_Symptom 66,0.0
trf1__location_Location 101,0.0
trf1__location_Location 102,0.0
trf1__location_Location 105,0.0
trf1__location_Location 106,0.0
trf1__location_Location 109,0.0
trf1__notify_Send Email,0.0
trf1__u_symptom_Symptom 99,0.0
trf1__u_symptom_Symptom 97,0.0
trf1__u_symptom_Symptom 96,0.0
trf1__u_symptom_Symptom 95,0.0
trf1__u_symptom_Symptom 94,0.0
trf1__u_symptom_Symptom 92,0.0
trf1__u_symptom_Symptom 89,0.0
trf1__u_symptom_Symptom 88,0.0
trf1__u_symptom_Symptom 83,0.0
trf1__u_symptom_Symptom 81,0.0
trf1__u_symptom_Symptom 80,0.0
trf1__u_symptom_Symptom 79,0.0
trf1__u_symptom_Symptom 77,0.0
trf1__u_symptom_Symptom 75,0.0
trf1__u_symptom_Symptom 74,0.0
trf1__u_symptom_Symptom 73,0.0
trf1__u_symptom_Symptom 72,0.0
trf1__u_symptom_Symptom 71,0.0
trf1__location_Location 114,0.0
trf1__u_symptom_Symptom 69,0.0
trf1__u_symptom_Symptom 67,0.0
trf1__u_symptom_Symptom 577,0.0
trf1__u_symptom_Symptom 574,0.0
trf1__u_symptom_Symptom 493,0.0
trf1__location_Location 129,0.0
trf1__location_Location 13,0.0
trf1__u_symptom_Symptom 53,0.0
trf1__location_Location 130,0.0
trf1__u_symptom_Symptom 528,0.0
trf1__u_symptom_Symptom 526,0.0
